Record number,Number of inquiries in the past three months,Age of the most recent inquiry,Number of derogatory public records,Age of the most recent derogatory public record,Bankruptcy on file,Subject’s age,Subject’s average income in last 5 years,Credit Score,Education,Number of bank accounts opened in last 5 years,Number of bank accounts closed in last 5 years,Marital_status,Gendre,Head of household,Housing  type
117,7,14,2,6,TRUE,24,250,660,PhD,6,2,Married,Female,TRUE,Rental
118,6,11,1,6,FALSE,24,310,730,None,0,2,Divorced,Female,FALSE,Rental
119,5,10,5,4,FALSE,60,250,670,BS,6,1,Married,Male,FALSE,Rental
120,8,2,11,1,TRUE,NaN,250,850,BS,4,3,Separated,Female,FALSE,Owner
121,7,15,5,1,TRUE,37,175,850,None,4,3,Separated,Female,TRUE,Rental
122,4,3,5,4,TRUE,66,125,300,BS,3,1,Divorced,Male,TRUE,Owner
123,4,1,5,4,TRUE,22,250,500,MS,0,1,Widowed,Female,TRUE,Rental
124,4,12,11,1,TRUE,57,125,850,MS,0,0,Widowed,Male,TRUE,Owner
125,2,3,1,4,FALSE,40,250,670,HS,2,2,Separated,Male,FALSE,Owner
126,10,14,11,6,TRUE,77,49,670,HS,0,3,Married,Female,TRUE,Rental
127,9,12,0,4,TRUE,57,125,800,MS,0,2,Single,Female,FALSE,Rental
128,9,11,1,6,TRUE,40,49,620,None,0,3,Married,Female,TRUE,Owner
129,6,6,2,4,TRUE,70,175,730,MS,3,0,Separated,Female,FALSE,Rental
130,1,3,1,1,FALSE,22,175,620,BS,3,2,Divorced,Male,TRUE,Owner
131,2,11,0,3,TRUE,37,75,810,BS,5,3,Widowed,Male,FALSE,Rental
132,5,4,5,4,FALSE,20,175,850,MS,2,0,Separated,Male,TRUE,Owner
133,10,7,2,6,TRUE,67,125,660,HS,0,0,Divorced,Male,FALSE,Owner
134,2,4,1,4,FALSE,30,75,730,PhD,6,3,Separated,Female,FALSE,Owner
135,8,11,11,4,FALSE,40,175,850,PhD,4,1,Divorced,Male,FALSE,Owner
136,10,3,1,3,TRUE,50,310,800,PhD,6,0,Single,Male,FALSE,Owner
137,7,14,5,3,TRUE,48,75,850,PhD,6,1,Widowed,Male,FALSE,Rental
138,10,10,5,6,TRUE,50,75,300,PhD,3,2,Married,Male,TRUE,Owner
139,2,15,1,3,FALSE,48,250,500,PhD,6,2,Widowed,Male,TRUE,Owner
140,2,15,1,6,TRUE,35,75,500,PhD,3,1,Divorced,Female,TRUE,Owner
141,7,5,2,3,FALSE,22,310,670,BS,3,0,Single,Male,TRUE,Rental
142,9,15,11,4,TRUE,70,49,500,None,4,3,Widowed,Male,TRUE,Owner
143,10,12,5,3,TRUE,40,175,NaN,HS,4,1,Single,Female,FALSE,Rental
144,4,4,11,4,TRUE,70,310,600,PhD,0,2,Single,Male,TRUE,Owner
145,8,15,5,1,TRUE,40,250,600,MS,4,2,Widowed,Female,FALSE,Rental
146,10,6,11,3,TRUE,66,49,500,MS,3,0,Married,Male,FALSE,Owner
147,4,12,2,4,FALSE,NaN,49,600,BS,2,3,Married,Female,FALSE,Rental
148,0,7,11,1,FALSE,48,75,300,MS,3,2,Separated,Female,FALSE,Owner
149,7,10,11,1,TRUE,30,310,660,PhD,3,0,Married,Male,TRUE,Rental
150,7,15,0,6,TRUE,35,125,730,PhD,4,1,Married,Female,TRUE,Owner
151,9,11,11,6,FALSE,63,49,300,MS,1,1,Single,Male,FALSE,Owner
152,9,3,2,1,FALSE,70,250,670,PhD,5,0,Divorced,Female,FALSE,Rental
153,9,10,5,6,FALSE,77,75,660,MS,3,3,Married,Female,TRUE,Owner
154,10,14,1,6,TRUE,70,175,NaN,PhD,0,1,Single,Male,TRUE,Owner
155,7,13,1,3,TRUE,22,175,800,None,2,1,Single,Female,TRUE,Rental
156,6,14,2,4,TRUE,70,49,800,BS,1,3,Widowed,Female,TRUE,Rental
157,6,9,5,4,TRUE,24,175,660,BS,1,1,Divorced,Female,FALSE,Owner
158,5,3,1,3,FALSE,67,75,500,BS,1,2,Widowed,Male,FALSE,Owner
159,1,10,0,1,FALSE,63,75,730,MS,0,3,Married,Male,FALSE,Owner
160,4,3,0,3,TRUE,56,125,670,PhD,0,0,Married,Male,TRUE,Rental
161,0,8,5,3,TRUE,NaN,250,760,BS,1,2,Widowed,Female,FALSE,Rental
162,2,6,1,1,TRUE,24,175,620,None,5,3,Widowed,Female,FALSE,Owner
163,5,14,1,4,TRUE,57,175,620,HS,0,0,Separated,Male,FALSE,Rental
164,8,3,0,4,FALSE,22,49,800,PhD,2,0,Single,Male,FALSE,Owner
165,10,10,5,4,TRUE,50,310,500,PhD,0,3,Married,Female,FALSE,Rental
166,3,10,1,1,FALSE,44,125,500,None,5,2,Married,Male,FALSE,Owner
167,8,6,2,3,FALSE,60,49,760,MS,1,1,Separated,Female,FALSE,Owner
168,9,12,11,4,TRUE,56,310,730,PhD,2,2,Single,Male,TRUE,Owner
169,5,1,2,1,FALSE,63,75,660,PhD,1,0,Widowed,Female,TRUE,Rental
170,2,7,5,3,TRUE,44,75,NaN,PhD,0,3,Married,Male,TRUE,Rental
171,5,9,0,6,TRUE,57,125,620,BS,6,1,Widowed,Female,TRUE,Owner
172,3,10,0,6,FALSE,35,175,NaN,PhD,6,2,Widowed,Male,TRUE,Rental
173,7,7,5,4,TRUE,30,310,800,PhD,2,1,Separated,Male,TRUE,Rental
174,4,9,0,4,FALSE,56,250,670,MS,2,0,Separated,Female,FALSE,Owner
175,5,12,1,3,TRUE,24,310,760,HS,3,1,Single,Male,TRUE,Owner
176,4,15,2,4,FALSE,57,125,300,None,5,0,Married,Male,TRUE,Rental
177,1,11,5,6,TRUE,20,250,730,BS,2,2,Widowed,Female,TRUE,Owner
178,6,1,11,4,TRUE,60,250,NaN,BS,5,3,Married,Female,TRUE,Rental
179,3,2,11,6,FALSE,63,125,810,None,0,2,Single,Female,FALSE,Owner
180,0,1,1,3,FALSE,56,75,850,None,3,0,Widowed,Female,FALSE,Owner
181,8,12,2,1,FALSE,67,75,760,MS,1,1,Single,Female,FALSE,Owner
182,10,3,0,6,TRUE,63,125,620,None,1,3,Single,Female,FALSE,Owner
183,1,11,2,6,TRUE,40,250,730,None,5,2,Divorced,Female,TRUE,Owner
184,3,14,2,4,TRUE,63,75,620,PhD,3,2,Widowed,Female,FALSE,Rental
185,0,1,5,3,TRUE,35,250,620,None,0,2,Divorced,Male,TRUE,Owner
186,4,3,5,6,TRUE,48,125,810,MS,3,2,Married,Female,TRUE,Owner
187,7,9,5,1,FALSE,NaN,49,810,None,6,2,Married,Female,FALSE,Rental
188,9,14,0,6,TRUE,48,125,850,PhD,1,1,Widowed,Male,TRUE,Rental
189,6,3,2,4,FALSE,57,250,660,None,0,3,Married,Male,TRUE,Owner
190,3,11,0,4,TRUE,60,125,800,HS,2,3,Single,Male,FALSE,Owner
191,7,1,2,1,TRUE,50,250,NaN,BS,2,1,Separated,Male,TRUE,Owner
192,0,5,5,6,TRUE,20,125,800,MS,4,1,Divorced,Female,TRUE,Rental
193,10,9,0,6,FALSE,NaN,310,660,HS,0,2,Single,Female,TRUE,Rental
194,7,13,11,1,FALSE,35,125,670,HS,6,3,Single,Female,FALSE,Rental
195,3,4,1,4,TRUE,20,310,730,BS,0,2,Divorced,Female,TRUE,Owner
196,4,6,2,4,TRUE,37,125,500,BS,1,1,Widowed,Female,FALSE,Owner
197,3,8,5,3,TRUE,22,175,660,HS,3,2,Married,Female,TRUE,Owner
198,4,5,2,3,TRUE,77,75,810,PhD,0,1,Separated,Female,TRUE,Owner
199,9,14,2,4,FALSE,44,250,NaN,MS,6,3,Single,Male,FALSE,Owner
200,2,5,0,4,FALSE,60,125,800,None,0,1,Divorced,Male,FALSE,Rental
201,2,7,11,6,TRUE,66,49,730,MS,1,3,Married,Male,TRUE,Rental
202,4,14,0,6,TRUE,40,310,760,MS,0,1,Married,Male,FALSE,Owner
203,8,14,5,1,FALSE,66,125,810,MS,2,2,Married,Male,FALSE,Owner
204,9,14,0,4,FALSE,50,49,670,BS,0,1,Divorced,Male,TRUE,Rental
205,9,4,11,3,TRUE,56,75,730,HS,5,1,Married,Female,TRUE,Owner
206,4,14,0,1,TRUE,NaN,250,620,PhD,5,3,Divorced,Female,TRUE,Owner
207,10,6,1,3,FALSE,44,49,850,PhD,1,2,Divorced,Female,FALSE,Rental
208,8,1,1,6,FALSE,67,310,500,MS,5,2,Separated,Male,TRUE,Owner
209,7,1,0,6,TRUE,57,175,660,HS,0,0,Widowed,Male,FALSE,Owner
210,5,2,2,4,TRUE,77,125,500,BS,2,1,Married,Female,TRUE,Rental
211,3,11,11,1,FALSE,50,175,850,None,5,0,Separated,Male,TRUE,Owner
212,4,6,1,4,FALSE,40,310,670,PhD,1,1,Widowed,Male,TRUE,Rental
213,6,11,1,4,TRUE,56,75,660,PhD,1,0,Widowed,Male,FALSE,Owner
214,7,14,0,3,TRUE,57,175,730,PhD,1,0,Widowed,Male,TRUE,Owner
215,10,4,11,3,FALSE,44,175,760,None,6,0,Widowed,Male,TRUE,Rental
216,9,2,5,1,TRUE,20,125,600,MS,1,0,Separated,Male,FALSE,Owner
217,5,15,11,3,TRUE,50,49,NaN,PhD,4,1,Married,Female,FALSE,Owner
218,0,4,5,6,TRUE,44,250,620,MS,4,3,Divorced,Female,TRUE,Owner
219,10,6,2,4,FALSE,35,125,760,None,6,2,Widowed,Female,TRUE,Owner
220,7,10,1,1,FALSE,22,310,800,None,2,3,Separated,Male,TRUE,Owner
221,1,5,2,3,FALSE,65,125,500,MS,4,1,Single,Female,FALSE,Owner
222,6,7,0,4,FALSE,70,49,660,None,6,0,Widowed,Male,TRUE,Owner
223,2,14,0,4,TRUE,48,175,600,MS,0,3,Single,Female,FALSE,Owner
224,6,12,1,1,FALSE,56,75,300,HS,3,1,Single,Female,FALSE,Rental
225,1,7,2,4,TRUE,65,125,760,HS,4,0,Separated,Female,TRUE,Owner
226,10,8,2,6,FALSE,NaN,125,760,None,3,1,Single,Male,FALSE,Owner
227,0,11,2,1,FALSE,63,175,300,None,0,0,Divorced,Female,TRUE,Rental
228,10,1,2,6,FALSE,50,75,670,HS,6,2,Separated,Female,FALSE,Owner
229,9,12,5,3,TRUE,63,75,500,PhD,5,1,Separated,Male,FALSE,Rental
230,7,8,2,1,TRUE,48,250,730,BS,6,1,Married,Male,FALSE,Rental
231,10,3,0,6,TRUE,50,310,850,HS,5,3,Divorced,Male,FALSE,Rental
232,1,11,2,4,FALSE,56,49,800,PhD,2,3,Divorced,Female,FALSE,Rental
233,2,13,5,6,TRUE,22,75,800,HS,3,1,Widowed,Male,TRUE,Rental
234,4,5,11,6,FALSE,67,125,730,HS,3,3,Widowed,Male,FALSE,Owner
235,2,6,5,4,TRUE,40,250,730,MS,3,0,Married,Female,TRUE,Rental
236,6,9,5,1,TRUE,70,250,620,PhD,5,0,Married,Female,FALSE,Rental
237,5,6,0,1,FALSE,NaN,250,600,None,5,0,Separated,Female,FALSE,Rental
238,7,3,1,3,TRUE,44,75,620,HS,5,3,Widowed,Male,TRUE,Owner
239,9,8,0,6,FALSE,44,250,300,BS,0,3,Single,Female,FALSE,Owner
240,3,2,1,4,TRUE,48,250,670,PhD,2,2,Separated,Male,FALSE,Owner
241,2,14,2,1,FALSE,77,125,760,MS,4,0,Single,Female,TRUE,Rental
242,5,3,11,4,FALSE,35,175,850,HS,6,2,Divorced,Female,TRUE,Rental
243,5,9,0,4,FALSE,48,75,660,MS,5,2,Married,Female,FALSE,Owner
244,3,3,11,4,FALSE,44,175,500,MS,3,0,Widowed,Female,TRUE,Rental
245,4,7,1,6,TRUE,60,125,620,None,4,2,Divorced,Female,FALSE,Owner
246,4,1,2,3,TRUE,30,125,760,MS,5,3,Widowed,Male,FALSE,Rental
247,10,1,5,6,FALSE,44,310,300,BS,2,1,Widowed,Female,TRUE,Rental
248,8,11,2,4,FALSE,NaN,75,660,None,2,0,Divorced,Male,TRUE,Rental
249,9,1,11,1,FALSE,37,125,730,HS,5,2,Widowed,Female,FALSE,Rental
250,4,9,2,3,TRUE,40,125,810,None,0,2,Separated,Male,FALSE,Owner
251,8,6,1,1,FALSE,66,175,NaN,None,5,1,Married,Female,FALSE,Owner
252,5,4,5,3,TRUE,70,250,810,HS,5,1,Single,Female,TRUE,Rental
253,10,4,2,3,FALSE,66,125,500,None,4,0,Widowed,Male,TRUE,Rental
254,4,12,2,3,TRUE,37,49,600,PhD,6,3,Divorced,Female,FALSE,Rental
255,4,7,0,4,TRUE,57,49,660,HS,6,0,Separated,Female,FALSE,Owner
256,10,4,1,6,FALSE,37,75,800,PhD,0,0,Separated,Female,TRUE,Owner
257,2,10,5,6,FALSE,22,75,670,HS,5,1,Widowed,Male,FALSE,Rental
258,5,8,5,4,FALSE,44,310,300,PhD,3,0,Divorced,Female,FALSE,Owner
259,8,4,2,6,TRUE,37,250,620,BS,4,0,Single,Female,FALSE,Rental
260,2,8,11,3,FALSE,37,310,670,MS,6,3,Widowed,Male,FALSE,Rental
261,3,7,1,4,TRUE,65,310,660,None,1,3,Married,Female,FALSE,Owner
262,6,14,11,3,TRUE,57,310,620,PhD,3,3,Married,Male,FALSE,Owner
263,4,14,1,3,FALSE,48,175,620,MS,1,3,Widowed,Female,TRUE,Owner
264,7,8,2,1,FALSE,48,125,730,MS,0,3,Single,Male,TRUE,Owner
265,5,6,1,4,FALSE,44,75,600,HS,0,0,Divorced,Female,TRUE,Rental
266,2,13,2,1,FALSE,67,125,300,BS,6,3,Separated,Male,TRUE,Owner
267,2,11,5,4,FALSE,77,75,760,None,1,2,Single,Male,TRUE,Rental
268,0,1,2,4,TRUE,50,175,810,MS,0,1,Single,Male,TRUE,Owner
269,4,6,11,4,TRUE,NaN,125,810,None,2,2,Single,Male,FALSE,Owner
270,5,10,2,1,FALSE,70,49,620,BS,5,3,Separated,Male,FALSE,Rental
271,7,10,2,6,FALSE,57,125,850,None,1,0,Separated,Male,FALSE,Rental
272,8,1,2,3,TRUE,70,175,660,BS,2,1,Divorced,Male,FALSE,Owner
273,6,5,1,6,FALSE,56,175,800,None,4,1,Married,Male,TRUE,Owner
274,0,12,2,4,TRUE,67,175,670,None,3,3,Separated,Male,FALSE,Rental
275,1,6,0,4,TRUE,60,75,600,MS,1,2,Separated,Female,FALSE,Owner
276,9,13,2,6,TRUE,44,125,730,None,5,0,Widowed,Female,FALSE,Owner
277,2,4,11,1,FALSE,37,125,600,None,3,1,Separated,Male,TRUE,Rental
278,2,11,5,6,FALSE,65,125,800,PhD,6,3,Divorced,Male,FALSE,Rental
279,4,3,1,3,TRUE,77,125,NaN,HS,5,3,Divorced,Female,TRUE,Rental
280,6,9,5,1,FALSE,77,175,620,HS,4,3,Divorced,Male,FALSE,Rental
281,7,12,5,1,FALSE,70,125,730,HS,2,2,Single,Female,FALSE,Owner
282,4,15,1,1,TRUE,70,49,760,HS,5,3,Single,Male,TRUE,Owner
283,6,13,1,4,TRUE,37,175,850,HS,2,0,Married,Male,TRUE,Owner
284,5,7,2,1,FALSE,35,125,NaN,HS,1,1,Single,Female,TRUE,Owner
285,9,8,0,3,FALSE,24,75,850,BS,4,1,Widowed,Female,FALSE,Owner
286,5,10,5,3,FALSE,67,310,760,None,4,3,Single,Male,FALSE,Owner
287,6,5,11,4,FALSE,NaN,75,670,MS,6,1,Single,Female,FALSE,Rental
288,8,13,1,1,TRUE,20,310,800,HS,0,1,Single,Male,FALSE,Rental
289,6,12,1,6,TRUE,66,75,660,PhD,6,2,Married,Female,TRUE,Owner
290,1,9,1,1,TRUE,67,310,850,PhD,3,0,Single,Female,TRUE,Owner
291,10,8,5,6,FALSE,20,175,300,PhD,0,0,Separated,Male,TRUE,Owner
292,2,8,1,4,TRUE,57,75,850,HS,6,1,Widowed,Male,TRUE,Owner
293,9,8,0,6,FALSE,44,75,760,HS,1,1,Widowed,Female,FALSE,Rental
294,3,6,11,3,TRUE,67,310,850,None,5,2,Separated,Female,TRUE,Owner
295,5,11,11,1,FALSE,50,49,500,None,4,2,Separated,Female,TRUE,Owner
296,3,11,2,1,FALSE,70,75,760,BS,1,2,Married,Male,FALSE,Owner
297,9,2,11,4,TRUE,70,125,800,BS,3,2,Widowed,Male,TRUE,Rental
298,4,5,0,6,FALSE,63,49,600,MS,4,3,Widowed,Female,TRUE,Owner
299,2,2,1,4,FALSE,60,175,620,MS,1,1,Married,Female,FALSE,Rental
300,4,12,1,4,FALSE,22,49,300,PhD,0,1,Single,Female,FALSE,Rental
301,8,12,0,1,TRUE,66,125,500,None,4,0,Single,Male,FALSE,Owner
302,7,7,11,4,FALSE,22,75,800,PhD,3,0,Widowed,Male,TRUE,Rental
303,9,13,1,1,TRUE,56,250,760,BS,6,2,Married,Male,TRUE,Rental
304,8,10,11,3,TRUE,44,49,660,None,6,0,Widowed,Female,FALSE,Owner
305,7,15,2,6,TRUE,35,175,620,HS,6,0,Separated,Female,TRUE,Rental
306,4,10,1,6,FALSE,22,175,670,BS,0,3,Separated,Male,FALSE,Rental
307,1,8,1,4,TRUE,60,175,730,None,0,2,Separated,Male,FALSE,Owner
308,6,8,5,1,TRUE,77,75,810,PhD,5,0,Widowed,Male,TRUE,Rental
309,6,15,5,3,FALSE,44,125,NaN,HS,1,2,Single,Female,FALSE,Rental
